KEET,ALABASTER       ,AL,33.11,-86.47,33.107357141134806,-86.46655164798818
K8A0,ALBERTVILLE MUNI,AL,34.14,-86.15,34.13063831620359,-86.14314193805245
KALX,ALEXANDER/RUSSEL,AL,32.55,-85.58,32.55991897605184,-85.59235400692344
K79J,ANDALUSIA/OPP AR,AL,31.19,-86.24,31.18780770821668,-86.23596124585276
KANB,ANNISTON        ,AL,33.35,-85.51,33.34792584799575,-85.49974405786541
KAUB,AUBURN UNIV. (AM,AL,32.36,-85.3,32.36170783808476,-85.3130106182592
KAUO,AUBURN OPELIKA A,AL,32.37,-85.25,32.38105360380455,-85.25760128048385
KEKY,BESSEMER        ,AL,33.19,-86.56,33.18068856691774,-86.56926050166831
KBHM,BIRMINGHAM      ,AL,33.34,-86.45,33.33290059865859,-86.44954239029343
KOZR,OZARK/CAIRNS AAF,AL,31.17,-85.43,31.164464033843814,-85.43987602784608
K0A8,CENTREVILLE WSM ,AL,32.56,-87.05,32.57036899269116,-87.04493478003572
K9A4,COURTLAND       ,AL,34.4,-87.21,34.410831185626535,-87.21504672438499
K3A1,CULLMAN/FOLSOM F,AL,34.16,-86.51,34.17329470506507,-86.52195669909158
KCMD,CULLMAN/FOLSOM F,AL,34.16,-86.51,34.17329470506507,-86.52195669909158
KDCU,DECATUR         ,AL,34.39,-86.57,34.40098580038643,-86.55938740149853
KDYA,DEMOPOLIS       ,AL,32.28,-87.57,32.278255223826264,-87.57510117255455
KDHN,DOTHAN          ,AL,31.19,-85.27,31.20007810224432,-85.27727679131316
KEDN,ENTERPRISE      ,AL,31.18,-85.54,31.170827602805144,-85.54575529984331
KEUF,EUFAULA         ,AL,31.57,-85.08,31.57502846444742,-85.08547907295288
KGZH,EVERGREEN       ,AL,31.25,-87.03,31.252475800334686,-87.02922009205578
KCQF,FAIRHOPE        ,AL,30.28,-87.53,30.27504826900377,-87.51789498512686
K0J4,FLORALA MUNI    ,AL,31.03,-86.19,31.026247990050898,-86.19505088328401
K4A9,FT PAYNE/ISBELL ,AL,34.28,-85.43,34.2707136466458,-85.4214684116551
KSXS,FT RUCKER/SHELL ,AL,31.22,-85.51,31.214539946162198,-85.5155747006667
KHEY,FT RUCKER/HANCHE,AL,31.21,-85.39,31.206549866647144,-85.38317963160529
KGAD,GADSDEN MUNI    ,AL,33.58,-86.04,33.58296280624273,-86.05038792976089
KPRN,GREENVILLE      ,AL,31.51,-86.37,31.51363703435086,-86.37124456263875
KJKA,GULF SHORES     ,AL,30.17,-87.4,30.177891814075707,-87.39234675736577
K1M4,HALEYVILLE      ,AL,34.17,-87.36,34.16978454004251,-87.36823271174167
KHSV,HUNTSVILLE      ,AL,34.39,-86.47,34.396761164704046,-86.47765291153674
KMDQ,HUNTSVILLE/MADIS,AL,34.52,-86.33,34.52447669405215,-86.33097732365273
KJFX,JASPER/WALKER   ,AL,33.54,-87.19,33.52884535939796,-87.19454636905323
KLOR,LOWE AHP/FT. RUC,AL,31.21,-85.45,31.21135719882529,-85.46261448447576
KA08,MARION          ,AL,32.31,-87.23,32.30698675308015,-87.22430813164118
KMXF,MAXWELL AFB/MGM ,AL,32.22,-86.22,32.209212653117945,-86.2115647475783
KBFM,MOBILE/BROOKLEY ,AL,30.37,-88.04,30.367382502510388,-88.03980019265433
KMOB,MOBILE/BATES    ,AL,30.41,-88.15,30.417429723129388,-88.14241397411368
KMGM,MONTGOMERY      ,AL,32.18,-86.24,32.18806965204537,-86.24001346699403
KMSL,MUSCLE SHOAL    ,AL,34.45,-87.36,34.43972445715064,-87.34979547854645
KPLR,PELL CITY       ,AL,33.34,-86.15,33.339510109104864,-86.15096132873332
KRAM,PHI OIL PLAT    ,AL,29.03,-88.05,29.02273786687731,-88.04062409773626
K1A9,PRATTVILLE      ,AL,32.26,-86.31,32.26026165991723,-86.31501966203703
KHUA,REDSTONE ARSENAL,AL,34.41,-86.41,34.4164010717643,-86.42144059602857
K4A6,SCOTTSBORO      ,AL,34.41,-86.0,34.417003193548766,-86.0109932651131
KSEM,SELMA/CRAIG FLD ,AL,32.21,-86.59,32.20671041491949,-86.58736403195543
KSCD,SYLACAUGA       ,AL,33.1,-86.18,33.091444262607574,-86.17032124466094
KASN,TALLADEGA       ,AL,33.34,-86.03,33.333579897764096,-86.04302718738528
KTOI,TROY            ,AL,31.51,-86.01,31.515638026183755,-85.997697092476
KTCL,TUSCALOOSA      ,AL,33.13,-87.37,33.12926940210807,-87.35724249399128
KVOA,VIOSCA KNOLL768 ,AL,29.14,-87.47,29.132440015638508,-87.4596267104866
KADF,ARKADELPHIA     ,AR,34.06,-93.04,34.06524200607558,-93.04045225627787
KBVX,BATESVILLE      ,AR,35.44,-91.39,35.43268567953221,-91.39024717823325
KH00,BENTONVILLE     ,AR,36.21,-94.13,36.20944998433938,-94.1399401232716
KVBT,BENTONVILLE     ,AR,36.21,-94.13,36.20944998433938,-94.1399401232716
KXNA,BENTONVILLE (NW),AR,36.17,-94.18,36.16480821624191,-94.16802883372586
KHKA,BLYTHEVILLE     ,AR,35.56,-89.5,35.56093362355642,-89.50917520992363
KBYH,BLYTHEVILLE     ,AR,35.58,-89.57,35.585163273985714,-89.56319554374316
KSUZ,BENTON          ,AR,34.35,-92.29,34.34772560137718,-92.29868328590771
KCDH,CAMDEN          ,AR,33.37,-92.46,33.38003624344574,-92.4570937958061
KCXW,CANTRELL        ,AR,35.01,-92.33,35.00114283660022,-92.33770654568256
KCCA,CLINTON MUNI    ,AR,35.36,-92.27,35.35968475283425,-92.27399611343469
K3K8,COLDWATER       ,AR,37.13,-99.2,37.120833219451754,-99.19815656838296
K4M9,CORNING         ,AR,36.24,-90.39,36.23803789941495,-90.39178463704073
KDEQ,DE QUEEN        ,AR,34.03,-94.24,34.030104962001815,-94.2383070871219
KELD,EL DORADO       ,AR,33.13,-92.49,33.13193283031037,-92.48965109880204
KFYV,FAYETTEVILLE    ,AR,36.01,-94.1,36.00773216807111,-94.1138244519017
KFLP,FLIPPIN (AWOS)  ,AR,36.17,-92.35,36.16815055443763,-92.33711665827157
KFSM,FORT SMITH      ,AR,35.2,-94.22,35.20056143153494,-94.23027425623297
KHRO,HARRISON        ,AR,36.16,-93.09,36.15596494212507,-93.08636860616065
KHOT,HOT SPRINGS     ,AR,34.29,-93.06,34.2909347319634,-93.06377964224205
KJBR,JONESBORO       ,AR,35.5,-90.39,35.497957392580695,-90.39514951212996
KLIT,LITTLE ROCK     ,AR,34.44,-92.14,34.43503099623694,-92.13269717422415
KLRF,LITTLE ROCK AFB ,AR,34.55,-92.09,34.54711760182172,-92.10247849399109
KMEZ,MENA INTERMTN   ,AR,34.33,-94.12,34.322567361326485,-94.12719785592078
KAWM,W MEMPHIS MUNI  ,AR,35.08,-90.14,35.08606772512349,-90.13742607567119
KLLQ,MONTICELLO      ,AR,33.38,-91.45,33.3838580813878,-91.45578780594468
KMWT,MOUNT IDA       ,AR,34.33,-93.35,34.33925682771153,-93.36309060593184
KBPK,MOUNTAIN HOME   ,AR,36.22,-92.28,36.212034741777195,-92.28053870573684
KLZK,N. LITTLE ROCK  ,AR,34.5,-92.16,34.50304913407342,-92.15828123107657
KM19,NEWPORT         ,AR,35.39,-91.1,35.380948802180136,-91.08887649283078
KPBF,PINE BLUFF/GRIDR,AR,34.11,-91.56,34.10866360434859,-91.56910457527555
KROG,ROGERS          ,AR,36.22,-94.05,36.20900326039724,-94.05669613751895
KRUE,RUSSELLVILLE    ,AR,35.15,-93.06,35.14592853160817,-93.04886553837598
KSRC,SEARCY          ,AR,35.13,-91.44,35.118921949370495,-91.42795323935495
KSLG,SILOAM SPRING   ,AR,36.12,-94.28,36.12053233578671,-94.27927157477053
KASG,SPRINGDALE MUNI ,AR,36.1,-94.07,36.097036235197265,-94.05766049899688
KSGT,STUTTGART       ,AR,34.36,-91.34,34.351760274805436,-91.34328538731405
KTXK,TEXARKANA       ,AR,33.27,-93.59,33.28090079855885,-93.59464101451216
KARG,WALNUT RIDGE    ,AR,36.07,-90.55,36.062729829209204,-90.53779615097432
KPHX,PHOENIX/SKY HRBR,AZ,33.26,-112.01,33.25400697574711,-112.01468011658203
KTUS,TUCSON          ,AZ,32.08,-110.57,32.07842449186901,-110.5733441357801
KA39,AK-CHIN         ,AZ,32.59,-111.55,32.59734621709125,-111.53725241649236
KBXK,BUCKEYE         ,AZ,33.25,-112.41,33.258795935396,-112.39679606861253
KIFP,BULLHEAD CITY   ,AZ,35.09,-114.34,35.08601436661823,-114.34768451911422
KCGZ,CASA GRANDA     ,AZ,32.57,-111.46,32.56065098203039,-111.4507409870245
KIWA,CHANDLER/MESA   ,AZ,33.18,-111.39,33.18328984212289,-111.37815932934879
KCHD,CHANDLER        ,AZ,33.16,-111.49,33.14992334886632,-111.48210815805065
KAZC,COLORADO CITY   ,AZ,36.58,-113.01,36.57173116183422,-113.01048499728707
KP08,COOLIDGE MUNI   ,AZ,32.56,-111.26,32.55724900223226,-111.26087180311383
KDMA,DAVIS/TUCSON    ,AZ,32.1,-110.52,32.106123146594285,-110.52325962777888
KDUG,DOUGLAS BISBEE  ,AZ,31.28,-109.35,31.28157713483879,-109.34333690427458
KFLG,FLAGSTAFF       ,AZ,35.08,-111.4,35.08736818759698,-111.41080948964101
